Titres,URL,Nb vues
"Community platform bugs, issues and suggestions",/t5/Discussions-Feedback/Community-platform-bugs-issues-and-suggestions/td-p/1550804/jump-to/first-unread-message,7106
Guide Updates,/t5/Discussions-Feedback/Guide-Updates/td-p/1363682/jump-to/first-unread-message,9735
O2 Customer Service/Live Chat positive feedback archive!,/t5/Discussions-Feedback/O2-Customer-Service-Live-Chat-positive-feedback-archive/td-p/1125286/jump-to/first-unread-message,25333
Mast isn't working as it should,/t5/Discussions-Feedback/Mast-isn-t-working-as-it-should/td-p/1574495/jump-to/first-unread-message,38
NON DELIVERY OF NEW PHONE,/t5/Discussions-Feedback/NON-DELIVERY-OF-NEW-PHONE/td-p/1574419/jump-to/first-unread-message,41
Poor service in store,/t5/Discussions-Feedback/Poor-service-in-store/td-p/1574095/jump-to/first-unread-message,107
WiFi calling Moto g31,/t5/Discussions-Feedback/WiFi-calling-Moto-g31/td-p/1574285/jump-to/first-unread-message,62
eSIM QR Code via email.,/t5/Discussions-Feedback/eSIM-QR-Code-via-email/td-p/1573588/jump-to/first-unread-message,319
Upgrade,/t5/Discussions-Feedback/Upgrade/td-p/1573417/jump-to/first-unread-message,164
O2 Data Network Unavailable For Hours At A Time At Many Popular Summer Leisure Destinations,/t5/Discussions-Feedback/O2-Data-Network-Unavailable-For-Hours-At-A-Time-At-Many-Popular/td-p/1568919/jump-to/first-unread-message,1554
Upgrade,/t5/Discussions-Feedback/Upgrade/td-p/1572602/jump-to/first-unread-message,237
Customer Feedback,/t5/Discussions-Feedback/Customer-Feedback/td-p/1211473/jump-to/first-unread-message,2581
Considering my options after a stolen device,/t5/Discussions-Feedback/Considering-my-options-after-a-stolen-device/td-p/1564326/jump-to/first-unread-message,555
"Community platform bugs, issues and suggestions",/t5/Discussions-Feedback/Community-platform-bugs-issues-and-suggestions/td-p/1550804/jump-to/first-unread-message,7106
Guide Updates,/t5/Discussions-Feedback/Guide-Updates/td-p/1363682/jump-to/first-unread-message,9736
O2 Customer Service/Live Chat positive feedback archive!,/t5/Discussions-Feedback/O2-Customer-Service-Live-Chat-positive-feedback-archive/td-p/1125286/jump-to/first-unread-message,25333
Scam alert,/t5/Discussions-Feedback/Scam-alert/td-p/1572504/jump-to/first-unread-message,170
Court action,/t5/Discussions-Feedback/Court-action/td-p/1572318/jump-to/first-unread-message,208
Changes to 02 software,/t5/Discussions-Feedback/Changes-to-02-software/td-p/1572203/jump-to/first-unread-message,193
IMEI barred when phone lost. Now its been found O2 cannot reinstate my network on my phones handset,/t5/Discussions-Feedback/IMEI-barred-when-phone-lost-Now-its-been-found-O2-cannot/td-p/1523430/jump-to/first-unread-message,5933
Board,/t5/Discussions-Feedback/Board/td-p/1571365/jump-to/first-unread-message,688
O2 travel inclusive not working abroad,/t5/Discussions-Feedback/O2-travel-inclusive-not-working-abroad/td-p/1569885/jump-to/first-unread-message,865
SCAM,/t5/Discussions-Feedback/SCAM/td-p/1492618/jump-to/first-unread-message,3437
Why is the O2 network so bad?,/t5/Discussions-Feedback/Why-is-the-O2-network-so-bad/td-p/1547730/jump-to/first-unread-message,3487
Rubbish customer service,/t5/Discussions-Feedback/Rubbish-customer-service/td-p/1570053/jump-to/first-unread-message,715
Upgrade tariff process horrific,/t5/Discussions-Feedback/Upgrade-tariff-process-horrific/td-p/1569201/jump-to/first-unread-message,811
